news_source,bias,reporting,country,references
Truth and Action,Questionable Sources,Low,United States,"30,750"
Truth Broadcasting Network,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,0
Truth Broadcating Network,Conspiracy-Pseudoscience,Low,,226
Truth Channel Politics,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,17
True Activist,Questionable Sources,Low,Germany,"2,687"
Truth in Media,Questionable Sources,Low,,"140,162"
Truth Monitor,Questionable Sources,Low,,58
Truth Revolt,Questionable Sources,Low,,"256,086"
Truth Uncensored,Questionable Sources,Low,,"16,313"
Truthfeed,Questionable Sources,Low,United States,"55,854"
Turning Point USA,Questionable Sources,Low,United States,"86,607"
Twisted News,Conspiracy-Pseudoscience,Low,,"10,366"
Uncle Sam's Misguided Children,Questionable Sources,Low,United States,"14,420"
Underground Health,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"3,166"
Underground Journalist,Questionable Sources,Low,,13
Understanding the threat,Questionable Sources,Low,,"64,046"
Unique Web Magazine,Questionable Sources,Low,,68
US Advisor,Questionable Sources,Low,,"1,145"
US Chronicle,Questionable Sources,Low,,17
US Herald,Questionable Sources,Low,Unknown or Invalid Region,"10,505"
US Journal Review,Questionable Sources,Low,,64
US Liberty Wire,Questionable Sources,Low,Unknown or Invalid Region,"1,560"
USPostman,Questionable Sources,Low,,279
USA Conservative Report,Questionable Sources,Low,,7
USA Daily Post,Questionable Sources,Low,,9
USA Dose News,Questionable Sources,Low,,22
USA Hitman,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"39,603"
USA In Front,Questionable Sources,Low,,58
USA News for You,Questionable Sources,Low,,7
USA Newsflash,Questionable Sources,Low,,104
USA News/States-TV,Questionable Sources,Low,Unknown or Invalid Region,23
Usa Politics Now,Questionable Sources,Low,Unknown or Invalid Region,699
USA Public Life,Questionable Sources,Low,,4
USA Supreme,Questionable Sources,Low,,"17,277"
USA Viral News Today,Questionable Sources,Low,Unknown or Invalid Region,117
USA World Box,Questionable Sources,Low,,2
USAFirstInfo,Questionable Sources,Low,,7
USA News Today,Questionable Sources,Low,,15
USAWatchdog.com,Conspiracy-Pseudoscience,Low,United States,"120,994"
Vaccine News,Conspiracy-Pseudoscience,Low,,"8,008"
Vaccines Revealed,Conspiracy-Pseudoscience,Low,,"1,322"
VacTruth.com,Conspiracy-Pseudoscience,Low,,"48,215"
Vanguard America,Questionable Sources,Low,United States,655
Vaxxter,Conspiracy-Pseudoscience,Low,,"13,782"
Vdare,Questionable Sources,Low,United States,"290,167"
Vidmax,Questionable Sources,Low,,"40,341"
Vigilant Citizen,Conspiracy-Pseudoscience,Low,United States,"642,571"
Viral News Network,Conspiracy-Pseudoscience,Low,,3
Voice of America TV,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"4,085"
Voice of Europe,Questionable Sources,Low,,"135,535"
Wake Up World,Conspiracy-Pseudoscience,Low,Unknown or Invalid Region,"152,604"
Walk with Her,Questionable Sources,Low,United States,7
WallBuilders,Questionable Sources,Low,United States,"248,200"
Washington Pundit,Questionable Sources,Low,United States,"3,322"
21st Century Wire,Conspiracy-Pseudoscience,Mixed,United States,"332,291"
2ndVote,Right,Mixed,United States,708
369 News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"1,969"
7NEWS,Right-Center,Mixed,Australia,"276,373"
DailyO,Right-Center,Mixed,India,"876,045"
Abel Danger,Conspiracy-Pseudoscience,Mixed,United States,"7,283"
Accuracy in Academia (AIA),Right,Mixed,United States,"183,973"
Accuracy in Media,Right,Mixed,United States,"521,556"
ACN Latitudes,Conspiracy-Pseudoscience,Mixed,United States,"78,674"
Acting Man,Right,Mixed,United States,"362,398"
Addicting Info,Left,Mixed,United States,"297,434"
ADW News,Conspiracy-Pseudoscience,Mixed,United States,857
Ahram Online,Right-Center,Mixed,Egypt,"1,191,126"
Ahval News,Left-Center,Mixed,Cyprus,0
Al Jazeera,Left-Center,Mixed,Qatar,"7,805,699"
Al-Masdar News,Left-Center,Mixed,Lebanon,"133,154"
Al-Sura,Left-Center,Mixed,United States,39
All That's Fab,Left,Mixed,United States,"41,773"
Alliance for Advanced Health,Conspiracy-Pseudoscience,Mixed,United States,"2,208"
Alliance for Natural Health (ANH-USA),Conspiracy-Pseudoscience,Mixed,United States,"181,466"
Alt-Market,Conspiracy-Pseudoscience,Mixed,United States,"356,856"
Alternative News Network,Conspiracy-Pseudoscience,Mixed,United States,591
Alternet,Left,Mixed,United States,"3,358,583"
AltNewsMedia.net,Right,Mixed,Italy,191
AMAC (Association of Mature American Citizens),Right,Mixed,United States,"87,644"
American Action News,Questionable Sources,Mixed,United States,0
American Bridge 21st Century,Left,Mixed,United States,"2,201"
American Center for Law & Justice (ACLJ),Right,Mixed,United States,"253,208"
ACLU,Left-Center,Mixed,United States,"1,896,676"
American College of Pediatricians,Questionable Sources,Mixed,United States,"4,843"
American Consequences,Right,Mixed,United States,"25,033"
American Digital News,Conspiracy-Pseudoscience,Mixed,United States,"1,882"
American Enterprise Institute,Right,Mixed,United States,"8,728,836"
American Greatness,Right,Mixed,United States,"243,236"
American Herald Tribune,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"26,636"
American Intelligence Media,Conspiracy-Pseudoscience,Mixed,United States,"106,089"
American Intelligence Report,Conspiracy-Pseudoscience,Mixed,United States,"10,148"
American Legislative Exchange Council (ALEC),Right,Mixed,United States,"91,720"
American Liberty Report,Right,Mixed,United States,"2,941"
American News 24/7,Right,Mixed,United States,9
ANX News (American News X),Left,Mixed,United States,539
American Patriot Daily,Questionable Sources,Mixed,,"20,789"
American Spectator,Right,Mixed,United States,"9,433,797"
American Web Media (AWM),Questionable Sources,Mixed,United States,"1,443"
American for Prosperity,Right,Mixed,United States,"322,470"
Anadolu Agency,Right,Mixed,Turkey,"2,169,151"
Analyzing America,Questionable Sources,Mixed,United States,0
Ancient Code,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"53,164"
Ancient Origins,Conspiracy-Pseudoscience,Mixed,Ireland,"434,632"
Anti-War,Right-Center,Mixed,United States,"657,561"
Apost.com,Conspiracy-Pseudoscience,Mixed,Germany,0
Archaeology World,Questionable Sources,Mixed,Unknown or Invalid Region,0
Architects & Engineers for 9/11 Truth,Conspiracy-Pseudoscience,Mixed,United States,"511,986"
Arizona Daily Independent,Right,Mixed,United States,"416,398"
Armstrong Economics,Right,Mixed,United States,"164,069"
Asia-Pacific Research,Conspiracy-Pseudoscience,Mixed,Canada,"376,420"
Asian News International,Right-Center,Mixed,India,"275,786"
AsianNews.it,Right,Mixed,Italy,0
Assyrian International News Agency,Right,Mixed,United States,"79,674"
Axiom News Network,Right,Mixed,United States,12
Baltimore City Paper,Left,Mixed,United States,1
Banned Information,Questionable Sources,Mixed,United States,"3,033"
Bearing Arms,Right,Mixed,United States,"1,094,914"
Behold Israel,Conspiracy-Pseudoscience,Mixed,Israel,"10,223"
Beliefnet,Right,Mixed,United States,"1,870,071"
Biologos Foundation,Conspiracy-Pseudoscience,Mixed,United States,"180,151"
Bipartisan Report,Questionable Sources,Mixed,United States,"51,440"
BizPac Review,Right,Mixed,United States,"367,904"
Blabber Buzz,Right,Mixed,United States,281
Blacklisted News,Conspiracy-Pseudoscience,Mixed,United States,"549,201"
I Bleed Red White and Blue,Right,Mixed,United States,14
Bloomberg,Left-Center,Mixed,United States,"10,507,362"
Blue Dot Daily,Questionable Sources,Mixed,United States,46
Blue Nation Review,Left,Mixed,United States,"25,541"
Blue State Daily,Left,Mixed,United States,39
BoingBoing,Left,Mixed,United States,"5,066,631"
Bongino.com,Questionable Sources,Mixed,United States,"154,293"
Bounding Into Comics,Right,Mixed,United States,"46,558"
Breitbart Unmasked,Left,Mixed,United States,"18,659"
Breitbart,Questionable Sources,Mixed,United States,"3,846,103"
BrexitCentral,Right,Mixed,United Kingdom,"13,018"
BrightSide,Conspiracy-Pseudoscience,Mixed,Cyprus,0
BusinessLIVE,Right-Center,Mixed,South Africa,"642,857"
Buzzfeed,Left-Center,Mixed,United States,"257,716"
Caldron Pool,Questionable Sources,Mixed,Australia,0
Cambridge Analytica,Right,Mixed,United Kingdom,535
Campaign for Liberty,Right-Center,Mixed,United States,"5,751"
Campign Life Coalition,Right,Mixed,United States,"7,318"
Campus Reform,Right,Mixed,United States,"517,004"
Capital Research Center,Right,Mixed,United States,"43,429"
Care2,Left,Mixed,United States,"3,957,118"
Catholic Online,Conspiracy-Pseudoscience,Mixed,United States,"681,635"
CCTV,Left-Center,Mixed,China,"5,833"
Center for Security Policy,Questionable Sources,Mixed,United States,"266,184"
Cerno (Cernovich.com),Questionable Sources,Mixed,United States,"3,010"
Charisma News,Conspiracy-Pseudoscience,Mixed,United States,"322,585"
Chicks on the Right,Right,Mixed,United States,"19,663"
China Daily,Questionable Sources,Mixed,China,"32,932,238"
China Global Television Network,Left-Center,Mixed,China,"5,833"
China Internet Information Center,Left,Mixed,United States,0
Christian Broadcasting Network (CBN),Conspiracy-Pseudoscience,Mixed,United States,"67,798"
Christian Coalition of America,Right,Mixed,United States,"90,555"
Christian Headlines,Right,Mixed,United States,0
Christian News Alerts,Right,Mixed,United States,191
Christian Post,Right,Mixed,United States,"682,842"
Christian Today,Right,Mixed,United Kingdom,0
Chronicles Magazine,Right,Mixed,United States,"220,322"
Church Militant,Questionable Sources,Mixed,United States,"124,076"
Citizen Free Press,Right,Mixed,United States,"45,059"
Citizens United,Right,Mixed,United States,"6,473"
Civitas Institute,Right,Mixed,United States,"32,646"
Claremont Institute,Right,Mixed,United States,"423,317"
Climate Depot,Conspiracy-Pseudoscience,Mixed,United States,"658,249"
Climate Etc,Conspiracy-Pseudoscience,Mixed,United States,"378,320"
Code Pink,Left,Mixed,United States,"404,684"
Cold Dead Hands,Right,Mixed,United States,"39,830"
Columbia Reports,Left-Center,Mixed,United States,"102,190"
Columbus Free Press,Left,Mixed,United States,"12,072"
Communities Digital News,Right,Mixed,United States,"31,186"
Conscious Life News,Conspiracy-Pseudoscience,Mixed,United States,"17,994"
Conservapedia,Questionable Sources,Mixed,United States,"24,826"
Conservative Base,Right,Mixed,United States,"12,511"
Conservative Daily News,Right,Mixed,United States,"88,666"
Conservative Firing Line,Questionable Sources,Mixed,United States,"92,912"
Conservative HQ,Right,Mixed,United States,"171,696"
Conservative Review,Right,Mixed,United States,"243,855"
Conservative Today,Right,Mixed,United States,455
Conservative Opinion,Right,Mixed,United States,361
Constitution Rising,Questionable Sources,Mixed,United States,"32,510"
Content News,Left,Mixed,United States,18
Council for American-Islamic Relations (CAIR),Questionable Sources,Mixed,United States,"105,614"
Counter Current News,Conspiracy-Pseudoscience,Mixed,United States,"7,898"
Counter Propa,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,942
CounterPsyOps,Conspiracy-Pseudoscience,Mixed,United States,"10,121"
Covert Geopolitics,Conspiracy-Pseudoscience,Mixed,United States,"47,792"
Cowger Nation,Right,Mixed,United States,265
CreationWiki,Conspiracy-Pseudoscience,Mixed,United States,"8,911"
Crime Prevention Research Center,Right,Mixed,United States,"47,862"
Crisis Magazine,Right,Mixed,United States,"220,829"
CSC Mediagroup USA,Right,Mixed,United States,14
Daily Caller,Right,Mixed,United States,"2,431,427"
Daily Dems,Left,Mixed,United States,994
Daily Grail,Conspiracy-Pseudoscience,Mixed,Australia,"129,052"
Daily Mirror,Left-Center,Mixed,United Kingdom,"3,368,004"
Daily Newsbin,Left,Mixed,United States,0
Daily Political Newswire,Questionable Sources,Mixed,Unknown or Invalid Region,"2,362"
Daily Record (Scotland),Left,Mixed,United Kingdom,"491,613"
Daily Sabah,Right,Mixed,Turkey,"935,599"
Daily Sound and Fury,Left,Mixed,United States,"38,281"
Daily Star UK,Questionable Sources,Mixed,United Kingdom,"642,527"
Daily Surge,Right,Mixed,United States,"26,437"
Daily Telegraph (UK),Right,Mixed,United Kingdom,"9,722,249"
Dangerous,Right,Mixed,United States,"39,949"
David Wolfe,Conspiracy-Pseudoscience,Mixed,United States,"84,049"
DC Blue Dot,Questionable Sources,Mixed,United States,"3,965"
DC Statesman,Right,Mixed,United States,"7,869"
Political Tribune (Formerly DC Tribune),Left,Mixed,United States,"8,145"
DC Whispers,Right,Mixed,United States,"41,033"
De Telegraaf,Right,Mixed,Netherlands,0
DEBKAfile,Questionable Sources,Mixed,Israel,"729,987"
Deccan Herald,Left-Center,Mixed,United States,"1,732,818"
Deep Left Field,Questionable Sources,Mixed,United States,397
Deep South Voice,Left,Mixed,United States,0
DeepStateNation.com,Left,Mixed,United States,"72,263"
Democratic Underground,Left,Mixed,United States,"1,930,266"
Deplorables Report,Right,Mixed,United States,3
Deshabhimani,Left,Mixed,India,"2,008,567"
Diply,Left-Center,Mixed,Canada,"33,425"
Disobedient Media,Conspiracy-Pseudoscience,Mixed,United States,"94,932"
Disrn,Right,Mixed,United States,
DML News,Right,Mixed,United States,0
DoctorOz.com (Dr. Oz),Conspiracy-Pseudoscience,Mixed,United States,"280,787"
The Dodo,Left,Mixed,United States,"87,767"
Dr. Axe,Conspiracy-Pseudoscience,Mixed,United States,"216,279"
Drudge Retort,Left,Mixed,United States,"273,770"
Dutch Review,Left-Center,Mixed,Netherlands,"9,003"
Eagle PAC,Right,Mixed,United States,602
Earth First Journal,Left,Mixed,United States,"111,403"
EarthNews-Conservative News,Questionable Sources,Mixed,Unknown or Invalid Region,4
Eco News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,17
Economy in Crisis,Left,Mixed,United States,"23,531"
Ecowatch,Conspiracy-Pseudoscience,Mixed,United States,"196,317"
Educate Inspire Change,Conspiracy-Pseudoscience,Mixed,United States,"45,285"
Egberto Willies,Left,Mixed,United States,"54,632"
Egypt Today,Right,Mixed,Egypt,"332,761"
Egyptian Streets,Left-Center,Mixed,Egypt,"32,722"
Elite Daily,Left,Mixed,United States,"85,075"
Eluxe Magazine,Conspiracy-Pseudoscience,Mixed,United Kingdom,"9,602"
Energy Citizens,Right,Mixed,United States,"1,245"
Environmental Working Group (EWG),Conspiracy-Pseudoscience,Mixed,United States,"1,838,398"
Ethics & Religious Liberty Commission,Right,Mixed,United States,"97,471"
EurActiv,Left-Center,Mixed,United Kingdom,"705,485"
Everyday for Gun Safety,Questionable Sources,Mixed,United States,"68,878"
Experience Awareness (AbcBusinessNews.com),Questionable Sources,Mixed,United States,25
Extraordinary News,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,11
Fact Checking Turkey,Questionable Sources,Mixed,Turkey,"18,684"
Facts and Logic about the Middle East,Right,Mixed,United States,"13,173"
Facts Wanted,Questionable Sources,Mixed,Belize,"8,636"
FaithPanda,Conspiracy-Pseudoscience,Mixed,Kenya,22
FaithWire,Right,Mixed,United States,"9,559"
Family Security Matters,Right,Mixed,United States,0
Far Left Watch,Right,Mixed,United States,"12,007"
Federalist Press,Right,Mixed,United States,"2,134"
Federalist Society,Right,Mixed,United States,"118,815"
Fifth Column News,Left,Mixed,United States,"69,819"
Firefighters for 9/11 Unity and Truth,Conspiracy-Pseudoscience,Mixed,United States,"14,595"
First in Freedom Daily,Right,Mixed,United States,"8,102"
First Things Magazine,Right,Mixed,United States,"943,092"
Food and Water Watch,Left,Mixed,United States,"510,188"
Food Babe,Conspiracy-Pseudoscience,Mixed,United States,"44,480"
Food Matters,Conspiracy-Pseudoscience,Mixed,United States,"57,202"
Foreign Policy Journal,Left,Mixed,United States,"181,386"
Foreign Policy News,Left,Mixed,United States,"7,837"
Foundation for Economic Education,Right-Center,Mixed,United States,"1,091,446"
Fox News,Right,Mixed,United States,"15,148,777"
Franklin Center for Government and Public Integrity,Right-Center,Mixed,United States,"29,898"
Fraser Institute,Right-Center,Mixed,Canada,"191,448"
Free Republic,Right,Mixed,United States,"2,981,718"
Free West Media,Right,Mixed,South Africa,"7,959"
Freedom Cross Roads,Right,Mixed,United States,621
Freedom News Report,Questionable Sources,Mixed,United States,713
Freedom From Religion Foundation,Left,Mixed,United States,"440,939"
FreedomWorks,Right,Mixed,United States,"678,878"
Freedomain Radio,Conspiracy-Pseudoscience,Mixed,United States,"53,134"
Friends of Science,Conspiracy-Pseudoscience,Mixed,Canada,"28,602"
Frontiers of Freedom,Right,Mixed,United States,"19,186"
Frontiers,Pro-Science,Mixed,Switzerland,"208,522"
Future in America,Right,Mixed,United States,5
FWD Now,Questionable Sources,Mixed,United States,207
Gatestone Institute,Questionable Sources,Mixed,United States,"474,478"
Geology In,Questionable Sources,Mixed,United States,"5,315"
Geopolitics Alert,Left,Mixed,United States,"61,354"
Get Religion,Right,Mixed,United States,"337,091"
Global Healing Center,Conspiracy-Pseudoscience,Mixed,United States,"55,407"
Global Real News,Left-Center,Mixed,United States,"40,511"
Global Times,Questionable Sources,Mixed,China,"4,052,455"
Globe Today,Left,Mixed,United Kingdom,"30,300"
GMWatch,Conspiracy-Pseudoscience,Mixed,United Kingdom,0
GOD Good Lord Above,Questionable Sources,Mixed,United States,"1,097"
Godfather Politics,Questionable Sources,Mixed,United States,"147,171"
GOP.gov,Questionable Sources,Mixed,United States,"86,749"
GOPOCALPYSE,Left,Mixed,United States,298
GOPUSA,Right,Mixed,United States,"103,729"
Government Accountablity Institute,Right,Mixed,United States,"127,332"
Grabien News,Right,Mixed,United States,"288,931"
Great American Politics,Right,Mixed,United States,"4,265"
Green Left Weekly,Left,Mixed,Australia,"356,410"
Greenpeace,Conspiracy-Pseudoscience,Mixed,Netherlands,"2,455,331"
Groopspeak,Left,Mixed,United States,60
Grunge.com,Questionable Sources,Mixed,United States,
Guardians of Democracy,Left,Mixed,United States,"15,859"
Guerrilla News,Right,Mixed,United States,"2,790"
Guido Fawkes,Right,Mixed,United Kingdom,"966,035"
Happy Foxie,Left,Mixed,Unknown or Invalid Region,"36,427"
Hard News,Questionable Sources,Mixed,United States,"1,181"
Head Topics,Questionable Sources,Mixed,Unknown or Invalid Region,0
Health Eternally,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,104
Health Magazine,Left-Center,Mixed,United States,"3,181,415"
Heat Street,Right,Mixed,United States,"135,073"
Hello Christian,Conspiracy-Pseudoscience,Mixed,United States,"12,627"
Heritage Foundation,Right,Mixed,United States,"2,001,645"
HermanCain.com,Right,Mixed,United States,"13,573"
Higgins News Network,Conspiracy-Pseudoscience,Mixed,United States,"52,435"
Higher Perspective,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,0
Hillary Daily,Right,Mixed,United States,"9,296"
Homeopathy Journal,Conspiracy-Pseudoscience,Mixed,Germany,931
Human Events,Right,Mixed,United States,"1,336,775"
I Heart Intelligence,Conspiracy-Pseudoscience,Mixed,Bulgaria,0
"I, Hypocrite",Questionable Sources,Mixed,United States,751
I Love Native Americans,Conspiracy-Pseudoscience,Mixed,United States,4
IFL Science,Conspiracy-Pseudoscience,Mixed,United States,"190,192"
Illegal Alien Crime Report,Questionable Sources,Mixed,United States,"35,178"
Imprimis,Right,Mixed,United States,"29,791"
Independent Living News,Conspiracy-Pseudoscience,Mixed,United States,"5,597"
Independent Reporter,Left,Mixed,United States,"20,675"
Independent Science News,Conspiracy-Pseudoscience,Mixed,United States,"204,749"
India Times,Right-Center,Mixed,India,"5,463,593"
Information Clearing House,Conspiracy-Pseudoscience,Mixed,United States,"88,470"
InfoScum,Questionable Sources,Mixed,Canada,"48,742"
Institute for Family Studies,Right,Mixed,United States,"9,672"
Institute for Responsible Technology,Conspiracy-Pseudoscience,Mixed,United States,"130,890"
Reagan Battalion,Right-Center,Mixed,United States,"130,003"
International Business Times,Left-Center,Mixed,United States,"1,111,703"
International Viewpoint,Left,Mixed,United Kingdom,"258,976"
Intrepid Report,Left,Mixed,United States,"61,076"
Investment Watch Blog,Conspiracy-Pseudoscience,Mixed,United States,"61,003"
Investors Business Daily,Right,Mixed,United States,"1,202,413"
iPatriot,Right,Mixed,United States,"74,336"
"Israel, Islam and End Times",Conspiracy-Pseudoscience,Mixed,United States,"3,874"
Israel Video Network,Questionable Sources,Mixed,Israel,"17,108"
It's Going Down,Left,Mixed,United States,"198,326"
JeffereyJaxen.com,Conspiracy-Pseudoscience,Mixed,United States,757
Jewish Breaking News,Right-Center,Mixed,Israel,"9,861"
Jewish World Review,Right,Mixed,Israel,"615,605"
Jezebel,Left,Mixed,United States,"10,228,853"
Judicial Crisis Network,Right,Mixed,United States,"7,988,883"
Just the Facts,Questionable Sources,Mixed,United States,"2,924"
Kansas Policy Institute,Right,Mixed,United States,"8,070"
Knox Report,Right,Mixed,United States,234
Korean Herald,Right-Center,Mixed,South Korea,"4,776,644"
Kurdistan 24,Left-Center,Mixed,KU,"6,493"
LA Weekly,Left,Mixed,United States,0
Latest.com,Left,Mixed,United States,474
Law Enforcement Today,Right,Mixed,United States,0
Left Over Rights,Left,Mixed,United States,"1,742"
Left Side of History,Left,Mixed,United States,332
Lew Rockwell,Questionable Sources,Mixed,United States,"2,405,217"
Liberal America,Left,Mixed,United States,"176,780"
Liberal Examiner,Left,Mixed,United States,"1,204"
Liberal Speak,Questionable Sources,Mixed,United States,"2,274"
Liberty Alliance,Questionable Sources,Mixed,United States,"3,904"
Liberty Hangout,Right,Mixed,United States,"38,183"
Liberty Headlines,Right,Mixed,United States,"78,998"
Liberty Nation,Right,Mixed,United States,"67,192"
Liberty News,Right,Mixed,United States,"14,264"
Liberty Talk.fm,Right,Mixed,United States,"314,461"
Life and About,Right,Mixed,Unknown or Invalid Region,674
Life Decisions International,Right,Mixed,United States,552
Life News,Right,Mixed,United States,"403,725"
Lifezette,Right,Mixed,United States,"188,338"
Live Action,Conspiracy-Pseudoscience,Mixed,United States,"65,747"
Live Leak,Left-Center,Mixed,United States,"3,190,556"
Livestrong.com,Conspiracy-Pseudoscience,Mixed,United States,"971,708"
Living Resistance,Conspiracy-Pseudoscience,Mixed,United States,161
Living Whole,Conspiracy-Pseudoscience,Mixed,United States,"3,056"
London Broadcasting Company (LBC),Right-Center,Mixed,United Kingdom,"52,070"
Lone Conservative,Right,Mixed,United States,"2,647"
Loser.com,Questionable Sources,Mixed,United States,"2,243"
Louder with Crowder,Right,Mixed,United States,"25,680"
Love Knowledge,Left,Mixed,United States,"1,145"
Lozier Institute,Right,Mixed,United States,"9,538"
Lucianne.com,Questionable Sources,Mixed,United States,"1,502,568"
Lyin' Comey,Right,Mixed,United States,993
MAGA Daily Report,Questionable Sources,Mixed,United States,"1,782"
MagaPill,Questionable Sources,Mixed,United States,"25,689"
Mean Left Hook,Left,Mixed,United States,"1,629"
Media Circus,Right,Mixed,United States,"25,351"
Media Equalizer,Right,Mixed,United States,"53,785"
Media Fact Watch,Conspiracy-Pseudoscience,Mixed,United States,"2,301"
Media Research Center (MRC,Right,Mixed,United States,"746,063"
Media Roots,Conspiracy-Pseudoscience,Mixed,United States,"72,949"
Media Trackers,Right,Mixed,United States,"23,790"
Medusa Magazine,Conspiracy-Pseudoscience,Mixed,United States,"7,151"
Mehr News Agency,Questionable Sources,Mixed,Iran,"366,352"
Memeorandum,Least Biased,Mixed,United States,"2,843,504"
Metro UK,Left-Center,Mixed,United Kingdom,"5,053,603"
Middle American Democrat,Questionable Sources,Mixed,United States,5
Middle East Media Research Institute (Memri),Questionable Sources,Mixed,United States,"773,844"
Middle East Monitor,Left,Mixed,United Kingdom,"233,690"
MindBodyGreen,Conspiracy-Pseudoscience,Mixed,United States,"202,840"
Mises Institute,Right,Mixed,United States,"1,917,049"
Modern Alternative Mama,Conspiracy-Pseudoscience,Mixed,United States,"8,858"
Modern Liberals,Left,Mixed,United States,"2,788"
Moon of Alabama,Left,Mixed,United States,"390,511"
MoveOn,Questionable Sources,Mixed,United States,"607,189"
MSMLies.com,Questionable Sources,Mixed,Unknown or Invalid Region,0
MSNBC,Left,Mixed,United States,"9,472,862"
Murica Today,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,398
My Zone Today,Questionable Sources,Mixed,Unknown or Invalid Region,5
Nap-Sack,Left,Mixed,Unknown or Invalid Region,13
National Center for Public Policy Research,Right,Mixed,United States,"27,192"
National Rifle Association,Questionable Sources,Mixed,United States,"4,506,998"
Natural Awakenings Magazine,Conspiracy-Pseudoscience,Mixed,United States,"6,955"
Natural Cures,Conspiracy-Pseudoscience,Mixed,United Kingdom,"2,173"
Natural Health 365,Conspiracy-Pseudoscience,Mixed,United States,"30,634"
Natural Medicine Team,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,60
Natural Society,Conspiracy-Pseudoscience,Mixed,United States,"391,769"
Naturally Savvy,Conspiracy-Pseudoscience,Mixed,United States,"66,681"
NDTV,Left-Center,Mixed,India,"4,559,981"
New American News,Conspiracy-Pseudoscience,Mixed,United States,40
New Boston Post,Right,Mixed,United States,"16,818"
New York Daily News,Left-Center,Mixed,United States,"3,686,344"
New York Post,Right-Center,Mixed,United States,"7,322,756"
News Blaze,Questionable Sources,Mixed,,"127,443"
News Corpse,Left,Mixed,United States,"12,422"
News Heist,Right-Center,Mixed,United States,56
News Procession,Questionable Sources,Mixed,Unknown or Invalid Region,273
NewsAmmo,Questionable Sources,Mixed,United States,"4,177"
Newsbud,Conspiracy-Pseudoscience,Mixed,,"383,883"
Newsbusters,Right,Mixed,United States,"2,542,784"
NewsGru,Left-Center,Mixed,United States,"6,700"
News Hounds,Left,Mixed,United States,"722,291"
News Inside Out,Conspiracy-Pseudoscience,Mixed,United Kingdom,"18,787"
Newsline,Right-Center,Mixed,Unknown or Invalid Region,"54,826"
NewsLogue,Left,Mixed,,462
Newsmax,Right,Mixed,United States,"2,796,906"
Newsweek,Left,Mixed,United States,"4,019,228"
Next News Network,Right,Mixed,United States,"46,441"
NOQ Report,Right,Mixed,United States,0
North Korea Times,Least Biased,Mixed,Australia,"9,527"
Not Liberal,Right,Mixed,,"3,287"
Nova Magazine,Left,Mixed,United States,5
NowThisNews,Left,Mixed,United States,"60,815"
NRA - Institute for Legislative Action,Right,Mixed,United States,"584,107"
NTK Network,Right,Mixed,,"23,139"
Numbers USA,Right,Mixed,United States,"425,545"
Nutritionfacts.org,Conspiracy-Pseudoscience,Mixed,United States,"363,194"
Occupy Independents,Left-Center,Mixed,United States,0
Offended America,Right,Mixed,,238
Offgrid Survival,Right,Mixed,,"135,220"
One America News Network,Right,Mixed,,"315,564"
One Angry Gamer,Right,Mixed,United States,0
One Green Planet,Left,Mixed,,"101,469"
OneIndia,Left-Center,Mixed,India,"3,258,388"
OneNewsNow,Right,Mixed,United States,"137,404"
OpEdNews (OEN),Left,Mixed,,"352,227"
Open Doors,Right-Center,Mixed,,"125,021"
Opposing Views,Left-Center,Mixed,United States,"1,263,852"
Opposition Report,Questionable Sources,Mixed,,"9,798"
OpsLens,Right,Mixed,,752
Organic Facts,Conspiracy-Pseudoscience,Mixed,India,"1,340"
Palmer Report,Left,Mixed,United States,"49,435"
PanAm Post,Right,Mixed,United States,"34,562"
Patriot Beat,Questionable Sources,Mixed,,"5,600"
Patriot Journal,Questionable Sources,Mixed,,"6,345"
Patriot News Alerts,Right,Mixed,,293
Patriot News Daily,Right,Mixed,,"9,505"
PatriotRetort.com,Right,Mixed,United States,"154,173"
Peacock Panache,Left,Mixed,United States,"36,330"
PETA,Conspiracy-Pseudoscience,Mixed,United States,"877,301"
PJ Media,Questionable Sources,Mixed,United States,"2,277,048"
Politicalite,Right,Mixed,United Kingdom,"42,719"
Political Dig,Left,Mixed,United States,"7,210"
Political Insider,Questionable Sources,Mixed,United States,"29,664"
Political State,Questionable Sources,Mixed,United States,641
Politichicks,Right,Mixed,,"94,415"
PoliticsNote,Right,Mixed,,101
PoliticusUsa,Left,Mixed,United States,"547,536"
Politifeed,Right,Mixed,,29
Politizoom,Left,Mixed,,"8,177"
