name,news_link,bias_mbfc,reporting_mbfc,country_mbfc,references_mbfc
NDTV,https://mediabiasfactcheck.com/ndtv/,Left-Center,Mixed,India,"4,559,981"
New American News,https://mediabiasfactcheck.com/new-american-news/,Conspiracy-Pseudoscience,Mixed,United States,40
New Boston Post,https://mediabiasfactcheck.com/new-boston-post/,Right,Mixed,United States,"16,818"
New York Daily News,https://mediabiasfactcheck.com/new-york-daily-news/,Left-Center,Mixed,United States,"3,686,344"
New York Post,https://mediabiasfactcheck.com/new-york-post/,Right-Center,Mixed,United States,"7,322,756"
News Blaze,https://mediabiasfactcheck.com/news-blaze/,Questionable Sources,Mixed,,"127,443"
News Corpse,https://mediabiasfactcheck.com/news-corpse/,Left,Mixed,United States,"12,422"
News Heist,https://mediabiasfactcheck.com/news-heist/,Right-Center,Mixed,United States,56
News Procession,https://mediabiasfactcheck.com/news-procession/,Questionable Sources,Mixed,Unknown or Invalid Region,273
NewsAmmo,https://mediabiasfactcheck.com/newsammo/,Questionable Sources,Mixed,United States,"4,177"
Newsbud,https://mediabiasfactcheck.com/newsbud/,Conspiracy-Pseudoscience,Mixed,,"383,883"
Newsbusters,https://mediabiasfactcheck.com/newsbusters/,Right,Mixed,United States,"2,542,784"
NewsGru,https://mediabiasfactcheck.com/newsgru/,Left-Center,Mixed,United States,"6,700"
News Hounds,https://mediabiasfactcheck.com/newshounds/,Left,Mixed,United States,"722,291"
News Inside Out,https://mediabiasfactcheck.com/newsinsideout-com/,Conspiracy-Pseudoscience,Mixed,United Kingdom,"18,787"
Newsline,https://mediabiasfactcheck.com/newsline/,Right-Center,Mixed,Unknown or Invalid Region,"54,826"
NewsLogue,https://mediabiasfactcheck.com/newslogue/,Left,Mixed,,462
Newsmax,https://mediabiasfactcheck.com/newsmax/,Right,Mixed,United States,"2,796,906"
Newsweek,https://mediabiasfactcheck.com/newsweek/,Left,Mixed,United States,"4,019,228"
Next News Network,https://mediabiasfactcheck.com/next-news-network/,Right,Mixed,United States,"46,441"
NOQ Report,https://mediabiasfactcheck.com/noq-report/,Right,Mixed,United States,0
North Korea Times,https://mediabiasfactcheck.com/north-korea-times/,Least Biased,Mixed,Australia,"9,527"
Not Liberal,https://mediabiasfactcheck.com/not-liberal/,Right,Mixed,,"3,287"
Nova Magazine,https://mediabiasfactcheck.com/nova-magazine/,Left,Mixed,United States,5
NowThisNews,https://mediabiasfactcheck.com/nowthis-news/,Left,Mixed,United States,"60,815"
NRA - Institute for Legislative Action,https://mediabiasfactcheck.com/nra-institute-for-legislative-action/,Right,Mixed,United States,"584,107"
NTK Network,https://mediabiasfactcheck.com/ntk-network/,Right,Mixed,,"23,139"
Numbers USA,https://mediabiasfactcheck.com/numbers-usa/,Right,Mixed,United States,"425,545"
Nutritionfacts.org,https://mediabiasfactcheck.com/nutritionfacts-org/,Conspiracy-Pseudoscience,Mixed,United States,"363,194"
Occupy Independents,https://mediabiasfactcheck.com/occupy-independents/,Left-Center,Mixed,United States,0
Offended America,https://mediabiasfactcheck.com/offended-america/,Right,Mixed,,238
Offgrid Survival,https://mediabiasfactcheck.com/offgrid-survival/,Right,Mixed,,"135,220"
One America News Network,https://mediabiasfactcheck.com/one-america-news-network/,Right,Mixed,,"315,564"
One Angry Gamer,https://mediabiasfactcheck.com/one-angry-gamer/,Right,Mixed,United States,0
One Green Planet,https://mediabiasfactcheck.com/one-green-planet/,Left,Mixed,,"101,469"
OneIndia,https://mediabiasfactcheck.com/oneindia/,Left-Center,Mixed,India,"3,258,388"
OneNewsNow,https://mediabiasfactcheck.com/onenewsnow/,Right,Mixed,United States,"137,404"
OpEdNews (OEN),https://mediabiasfactcheck.com/opednews-oen/,Left,Mixed,,"352,227"
Open Doors,https://mediabiasfactcheck.com/open-doors/,Right-Center,Mixed,,"125,021"
Opposing Views,https://mediabiasfactcheck.com/opposing-views/,Left-Center,Mixed,United States,"1,263,852"
Opposition Report,https://mediabiasfactcheck.com/opposition-report/,Questionable Sources,Mixed,,"9,798"
OpsLens,https://mediabiasfactcheck.com/opslens/,Right,Mixed,,752
Organic Facts,https://mediabiasfactcheck.com/organic-facts/,Conspiracy-Pseudoscience,Mixed,India,"1,340"
Palmer Report,https://mediabiasfactcheck.com/palmer-report/,Left,Mixed,United States,"49,435"
PanAm Post,https://mediabiasfactcheck.com/panam-post/,Right,Mixed,United States,"34,562"
Patriot Beat,https://mediabiasfactcheck.com/patriot-beat/,Questionable Sources,Mixed,,"5,600"
Patriot Journal,https://mediabiasfactcheck.com/patriot-journal/,Questionable Sources,Mixed,,"6,345"
Patriot News Alerts,https://mediabiasfactcheck.com/patriot-news-alerts/,Right,Mixed,,293
Patriot News Daily,https://mediabiasfactcheck.com/patriot-news-daily/,Right,Mixed,,"9,505"
PatriotRetort.com,https://mediabiasfactcheck.com/patriotretort-com/,Right,Mixed,United States,"154,173"
Peacock Panache,https://mediabiasfactcheck.com/peacock-panache/,Left,Mixed,United States,"36,330"
PETA,https://mediabiasfactcheck.com/peta-people-for-the-ethical-treatment-of-animals/,Conspiracy-Pseudoscience,Mixed,United States,"877,301"
PJ Media,https://mediabiasfactcheck.com/pj-media/,Questionable Sources,Mixed,United States,"2,277,048"
Politicalite,https://mediabiasfactcheck.com/politcalite-uk/,Right,Mixed,United Kingdom,"42,719"
Political Dig,https://mediabiasfactcheck.com/political-dig/,Left,Mixed,United States,"7,210"
Political Insider,https://mediabiasfactcheck.com/political-insider/,Questionable Sources,Mixed,United States,"29,664"
Political State,https://mediabiasfactcheck.com/political-state/,Questionable Sources,Mixed,United States,641
Politichicks,https://mediabiasfactcheck.com/politichicks/,Right,Mixed,,"94,415"
PoliticsNote,https://mediabiasfactcheck.com/politicsnote/,Right,Mixed,,101
PoliticusUsa,https://mediabiasfactcheck.com/politicususa/,Left,Mixed,United States,"547,536"
Politifeed,https://mediabiasfactcheck.com/politifeed/,Right,Mixed,,29
Politizoom,https://mediabiasfactcheck.com/politizoom/,Left,Mixed,,"8,177"
Popular Technology,https://mediabiasfactcheck.com/popular-technology/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"29,434"
Portland Tribune,https://mediabiasfactcheck.com/portland-tribune/,Left-Center,Mixed,United States,"1,414,091"
Powerline,https://mediabiasfactcheck.com/power-line/,Right,Mixed,United States,"4,213,038"
Pravda Report,https://mediabiasfactcheck.com/pravda-report/,Left,Mixed,,"1,086,966"
Press for Truth,https://mediabiasfactcheck.com/press-for-truth/,Conspiracy-Pseudoscience,Mixed,,"43,284"
Prevention Magazine,https://mediabiasfactcheck.com/prevention-magazine/,Conspiracy-Pseudoscience,Mixed,United States,0
Progress Tribune,https://mediabiasfactcheck.com/progress-tribune/,Questionable Sources,Mixed,United States,34
Progressive Liberal,https://mediabiasfactcheck.com/progressive-liberal/,Left,Mixed,,"2,277"
Project Veritas,https://mediabiasfactcheck.com/project-veritas/,Right,Mixed,United States,"128,262"
Prop or Not,https://mediabiasfactcheck.com/prop-or-not/,Conspiracy-Pseudoscience,Mixed,United States,485
Proud Conservative,https://mediabiasfactcheck.com/proud-conservatives/,Right,Mixed,,4
Proud Democrat,https://mediabiasfactcheck.com/proud-democrat/,Left,Mixed,,"3,931"
Public Interest Legal Foundation,https://mediabiasfactcheck.com/public-interest-legal-foundation/,Right,Mixed,,"1,398"
Quadrant Magazine,https://mediabiasfactcheck.com/quadrant-magazine/,Right,Mixed,,"139,436"
Quillette,https://mediabiasfactcheck.com/quillette/,Questionable Sources,Mixed,Australia,"350,196"
Rappler,https://mediabiasfactcheck.com/rappler/,Left,Mixed,Philippines,"599,228"
Raw Conservative Opinions,https://mediabiasfactcheck.com/raw-conservative-opinions/,Questionable Sources,Mixed,United States,0
Raw Story,https://mediabiasfactcheck.com/raw-story/,Left,Mixed,United States,"2,401,668"
Reader Supported News (RSN),https://mediabiasfactcheck.com/reader-supported-news-rsn/,Left,Mixed,United States,"241,278"
Reader's Digest,https://mediabiasfactcheck.com/readers-digest/,Right,Mixed,United States,"664,856"
Red Alert Politics,https://mediabiasfactcheck.com/red-alert-politics/,Right,Mixed,,"64,985"
Red Blue Divide,https://mediabiasfactcheck.com/red-blue-divide/,Questionable Sources,Mixed,United States,0
Red Flag News,https://mediabiasfactcheck.com/red-flag-news/,Right,Mixed,,"172,319"
Qpolitical,https://mediabiasfactcheck.com/red-rock-daily-news/,Questionable Sources,Mixed,United States,75
Red Youth,https://mediabiasfactcheck.com/red-youth/,Left,Mixed,,"5,531"
Redoubt News,https://mediabiasfactcheck.com/redoubt-news/,Conspiracy-Pseudoscience,Mixed,,"33,649"
Religion Mind,https://mediabiasfactcheck.com/religion-mind/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,21
RenewedRight.com,https://mediabiasfactcheck.com/renewedright-com/,Right,Mixed,,"7,565"
Republic World,https://mediabiasfactcheck.com/republic-world/,Right-Center,Mixed,,"167,856"
Resilience (Post Carbon Institute),https://mediabiasfactcheck.com/resilience-post-carbon-institute/,Left,Mixed,,"555,588"
Resistance Media,https://mediabiasfactcheck.com/resistance-media/,Right,Mixed,,39
Revcom.us,https://mediabiasfactcheck.com/revcom-us/,Left,Mixed,,"46,515"
Reverb Press,https://mediabiasfactcheck.com/reverb-press/,Left,Mixed,United States,"37,244"
Richochet,https://mediabiasfactcheck.com/richochet/,Right,Mixed,,"512,987"
Right & Free,https://mediabiasfactcheck.com/right-free/,Right,Mixed,United States,0
Right Smarts,https://mediabiasfactcheck.com/right-smarts/,Questionable Sources,Mixed,,570
Ron Paul Liberty Report,https://mediabiasfactcheck.com/ron-paul-liberty-report/,Right,Mixed,United States,"13,895"
Russian News Agency-TASS,https://mediabiasfactcheck.com/russian-news-agency-tass/,Questionable Sources,Mixed,Russia,"1,477,814"
Ruth Institute,https://mediabiasfactcheck.com/ruth-institute/,Questionable Sources,Mixed,United States,"62,133"
San Francisco Globe,https://mediabiasfactcheck.com/san-francisco-globe/,Left-Center,Mixed,United States,822
Science Factz,https://mediabiasfactcheck.com/science-factz/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,16
Science Vibe,https://mediabiasfactcheck.com/science-vibe/,Conspiracy-Pseudoscience,Mixed,United States,608
Secrets of the Fed,https://mediabiasfactcheck.com/secrets-of-the-fed/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,0
Secure America Now,https://mediabiasfactcheck.com/secure-america-now/,Right,Mixed,United States,"4,392"
Sentinel KSMO,https://mediabiasfactcheck.com/sentinel-ksmo/,Right,Mixed,United States,"9,586"
ShareBlue,https://mediabiasfactcheck.com/shareblue/,Left,Mixed,United States,"154,422"
SHTFplan.com,https://mediabiasfactcheck.com/shtfplan-com/,Questionable Sources,Mixed,,"631,148"
Signs of the Times (SOTT),https://mediabiasfactcheck.com/signs-of-the-times-sott/,Conspiracy-Pseudoscience,Mixed,,"812,757"
Silence is Consent,https://mediabiasfactcheck.com/silence-is-consent/,Right,Mixed,,"1,440"
Simple Organic Medicine,https://mediabiasfactcheck.com/simple-organic-medicine/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"1,993"
Sinclair Broadcast Group,https://mediabiasfactcheck.com/sinclair-broadcast-group/,Right,Mixed,United States,"66,583"
Skeptical Raptor,https://mediabiasfactcheck.com/skeptical-raptor/,Pro-Science,Mixed,United States,"29,665"
SmartNews,https://mediabiasfactcheck.com/smartnews/,Least Biased,Mixed,Japan,"58,751"
Sonoran News,https://mediabiasfactcheck.com/sonoran-news/,Right,Mixed,,"45,527"
Source Politics,https://mediabiasfactcheck.com/source-politics/,Left,Mixed,United States,"2,573"
South Africa Today,https://mediabiasfactcheck.com/south-africa-today/,Questionable Sources,Mixed,South Africa,"48,795"
South China Morning Post,https://mediabiasfactcheck.com/south-china-morning-post/,Left-Center,Mixed,Hong Kong SAR China,"897,021"
Space.News,https://mediabiasfactcheck.com/space-news/,Conspiracy-Pseudoscience,Mixed,United States,"3,953"
Sparks/CnnTimes,https://mediabiasfactcheck.com/sparkscnntimes/,Left,Mixed,Unknown or Invalid Region,25
Spiked Magazine,https://mediabiasfactcheck.com/spiked-magazine/,Right,Mixed,United Kingdom,"6,760"
Splinter,https://mediabiasfactcheck.com/splinter/,Left,Mixed,United States,"605,675"
StandPoint,https://mediabiasfactcheck.com/standpoint-magazine/,Right,Mixed,United States,"243,936"
Star Political,https://mediabiasfactcheck.com/star-political/,Right,Mixed,United States,675
Stepfeed,https://mediabiasfactcheck.com/stepfeed/,Left-Center,Mixed,,"16,494"
Studio News Network,https://mediabiasfactcheck.com/studio-news-network/,Questionable Sources,Mixed,,"1,410"
Syriana Analysis,https://mediabiasfactcheck.com/syriana-analysis/,Left,Mixed,,"2,513"
Tasnim News Agency,https://mediabiasfactcheck.com/tasnim-news-agency/,Questionable Sources,Mixed,Iran,"4,351,622"
Tea Party News (the Point),https://mediabiasfactcheck.com/tea-party-news-tpnn/,Right,Mixed,United States,"174,532"
The Tehran Times,https://mediabiasfactcheck.com/tehran-times/,Questionable Sources,Mixed,Iran,"1,748,697"
Telesur,https://mediabiasfactcheck.com/telesur/,Left,Mixed,,"2,269,870"
Tenth Amendment Center,https://mediabiasfactcheck.com/tenth-amendment-center/,Right,Mixed,United States,"330,481"
The Advertiser,https://mediabiasfactcheck.com/the-advertiser/,Right,Mixed,,"584,921"
The American Cause,https://mediabiasfactcheck.com/the-american-cause/,Right,Mixed,United States,"34,401"
The American Mind,https://mediabiasfactcheck.com/the-american-mind/,Right,Mixed,United States,"40,154"
The Anti-Media,https://mediabiasfactcheck.com/the-anti-media/,Conspiracy-Pseudoscience,Mixed,United States,"446,673"
The Beltway Report,https://mediabiasfactcheck.com/the-beltway-report/,Questionable Sources,Mixed,United States,0
The Blacksphere,https://mediabiasfactcheck.com/the-blacksphere-kevin-jackson/,Right,Mixed,United States,"265,084"
The Blaze,https://mediabiasfactcheck.com/the-blaze/,Right,Mixed,United States,"1,822,045"
The California Republican,https://mediabiasfactcheck.com/the-california-republican/,Right,Mixed,United States,408
The Chronicle Herald,https://mediabiasfactcheck.com/the-chronicle-herald/,Right-Center,Mixed,United States,"172,025"
The Citizen Press,https://mediabiasfactcheck.com/the-citizen-press/,Right,Mixed,United States,"2,317"
The College Fix,https://mediabiasfactcheck.com/the-college-fix/,Right,Mixed,,"432,033"
The Conservative Brief,https://mediabiasfactcheck.com/the-conservative-brief/,Questionable Sources,Mixed,,"1,506"
The Conservative Nut,https://mediabiasfactcheck.com/the-conservative-nut/,Right,Mixed,United States,8
The Conservative Papers,https://mediabiasfactcheck.com/the-conservative-papers/,Questionable Sources,Mixed,United States,
The Conservative Woman,https://mediabiasfactcheck.com/the-conservative-woman/,Right,Mixed,United States,"37,344"
The Crusader Journal,https://mediabiasfactcheck.com/the-crusader-journal/,Conspiracy-Pseudoscience,Mixed,United States,"2,596"
The Daily Banter,https://mediabiasfactcheck.com/the-daily-banter/,Left,Mixed,United States,"184,645"
The Daily Check,https://mediabiasfactcheck.com/the-daily-check/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"1,059"
The Daily Defender,https://mediabiasfactcheck.com/the-daily-defender/,Right,Mixed,,"6,860"
Daily Liberator,https://mediabiasfactcheck.com/the-daily-liberator/,Right,Mixed,United States,"7,452"
The Daily Telegraph (AUS),https://mediabiasfactcheck.com/the-daily-telegraph-australia/,Right,Mixed,Australia,"549,390"
The Daily Wire,https://mediabiasfactcheck.com/the-daily-wire/,Right,Mixed,United States,"430,582"
The DC Chronicle,https://mediabiasfactcheck.com/the-dc-chronicle/,Right,Mixed,United States,"5,761"
The Democratic Hub,https://mediabiasfactcheck.com/the-democratic-hub/,Left,Mixed,United States,"5,904,937"
The Dworkin Report,https://mediabiasfactcheck.com/the-dworkin-report/,Left,Mixed,United States,"1,924"
The EC Journal,https://mediabiasfactcheck.com/the-ec-journal/,Right-Center,Mixed,,59
The Epoch Times,https://mediabiasfactcheck.com/the-epoch-times/,Right,Mixed,United States,"1,665,637"
The European Union Times,https://mediabiasfactcheck.com/the-european-union-times/,Conspiracy-Pseudoscience,Mixed,Unknown or Invalid Region,"64,376"
The Federalist,https://mediabiasfactcheck.com/the-federalist/,Right,Mixed,United States,"789,391"
The Florida Squeeze,https://mediabiasfactcheck.com/the-florida-squeeze/,Left,Mixed,United States,"7,559"
The Free Telegraph,https://mediabiasfactcheck.com/the-free-telegraph/,Questionable Sources,Mixed,,"1,520"
The Greanville Post,https://mediabiasfactcheck.com/the-greanville-post-bias-rating/,Conspiracy-Pseudoscience,Mixed,United States,"123,736"
The Hayride,https://mediabiasfactcheck.com/the-hayride/,Right,Mixed,United States,"146,618"
The Hearty Soul,https://mediabiasfactcheck.com/the-hearty-soul/,Conspiracy-Pseudoscience,Mixed,,"7,619"
The Korea Times,https://mediabiasfactcheck.com/the-korea-times/,Left-Center,Mixed,South Korea,"3,590,912"
The Last Refuge,https://mediabiasfactcheck.com/the-last-refuge/,Right,Mixed,United States,"633,408"
The Liberty Daily,https://mediabiasfactcheck.com/the-liberty-daily/,Questionable Sources,Mixed,United States,"204,205"
The Liberty Eagle,https://mediabiasfactcheck.com/the-liberty-eagle/,Questionable Sources,Mixed,,119
The List,https://mediabiasfactcheck.com/the-list/,Left-Center,Mixed,United States,
The Mary Sue,https://mediabiasfactcheck.com/the-mary-sue/,Left,Mixed,United States,"368,701"
The Moderated Media,https://mediabiasfactcheck.com/the-moderated-media/,Least Biased,Mixed,United States,53
The New American,https://mediabiasfactcheck.com/the-new-american/,Right,Mixed,United States,"634,745"
The New Civil Rights Movement,https://mediabiasfactcheck.com/the-new-civil-rights-movement/,Left,Mixed,United States,"517,107"
The New Revere,https://mediabiasfactcheck.com/the-new-revere/,Right,Mixed,United States,"4,834"
The Newly Press,https://mediabiasfactcheck.com/the-newly-press/,Right,Mixed,,492
The Odyssey Online,https://mediabiasfactcheck.com/the-odyssey-online/,Left-Center,Mixed,United States,"894,494"
The Ohio Star,https://mediabiasfactcheck.com/the-ohio-star/,Right,Mixed,United States,"21,068"
The Patriot Post,https://mediabiasfactcheck.com/the-patriot-post/,Right,Mixed,United States,"544,690"
The Post & Email,https://mediabiasfactcheck.com/the-post-email/,Right,Mixed,United States,"198,989"
The Progressive Frontier,https://mediabiasfactcheck.com/the-progressive-frontier/,Left,Mixed,,"2,462"
The Proud Liberal,https://mediabiasfactcheck.com/the-proud-liberal/,Questionable Sources,Mixed,,"1,473"
The Quint,https://mediabiasfactcheck.com/the-quint/,Right-Center,Mixed,India,"448,206"
The RANTidote,https://mediabiasfactcheck.com/the-rantidote/,Right,Mixed,,51
The Real Strategy,https://mediabiasfactcheck.com/the-real-strategy/,Right,Mixed,,"2,927"
Rebel News,https://mediabiasfactcheck.com/the-rebel/,Right,Mixed,Canada,475
The Resurgent,https://mediabiasfactcheck.com/the-resurgent/,Right,Mixed,,"141,652"
The Right Scoop,https://mediabiasfactcheck.com/the-right-scoop/,Right,Mixed,,"410,063"
The Ron Paul Institute,https://mediabiasfactcheck.com/the-ron-paul-institute/,Right,Mixed,United States,"31,098"
The Stern Facts,https://mediabiasfactcheck.com/the-stern-facts/,Left,Mixed,United States,700
The Stream,https://mediabiasfactcheck.com/the-stream/,Conspiracy-Pseudoscience,Mixed,United States,"122,758"
The Sun,https://mediabiasfactcheck.com/the-sun/,Right,Mixed,United Kingdom,"6,446,463"
The Tennessee Star,https://mediabiasfactcheck.com/the-tennessee-star/,Right,Mixed,United States,"8,430"
The Trumpet,https://mediabiasfactcheck.com/the-trumpet/,Conspiracy-Pseudoscience,Mixed,,"122,973"
The Washington Feed,https://mediabiasfactcheck.com/the-washington-feed/,Questionable Sources,Mixed,United States,"24,407"
The Washington Reporter,https://mediabiasfactcheck.com/the-washington-reporter/,Questionable Sources,Mixed,United States,673
The Washington Sentinel,https://mediabiasfactcheck.com/the-washington-sentinel/,Questionable Sources,Mixed,United States,"90,741"
TheGreggJarrett.com,https://mediabiasfactcheck.com/thegreggjarrett-com/,Right,Mixed,United States,0
TheosWatch.com,https://mediabiasfactcheck.com/theoswatch-com/,Left,Mixed,,191
TheWrap,https://mediabiasfactcheck.com/thewrap/,Left-Center,Mixed,United States,"967,581"
Thought Catalog,https://mediabiasfactcheck.com/thought-catalog/,Conspiracy-Pseudoscience,Mixed,United States,0
Times Headline,https://mediabiasfactcheck.com/times-headline/,Left-Center,Mixed,,"26,867"
Times of South Africa,https://mediabiasfactcheck.com/times-of-south-africa-times-live/,Right-Center,Mixed,South Africa,"318,959"
TMZ,https://mediabiasfactcheck.com/tmz/,Left-Center,Mixed,United States,"7,019,904"
TooFab,https://mediabiasfactcheck.com/toofab/,Questionable Sources,Mixed,United States,
Towleroad,https://mediabiasfactcheck.com/towleroad/,Left,Mixed,United States,"1,078,262"
Townhall,https://mediabiasfactcheck.com/townhall/,Right,Mixed,United States,"3,500,480"
TPL News,https://mediabiasfactcheck.com/tpl-news/,Questionable Sources,Mixed,United States,"1,285"
Trending Politics,https://mediabiasfactcheck.com/trending-politics/,Right,Mixed,United States,0
TRT World,https://mediabiasfactcheck.com/trt-world/,Right,Mixed,Turkey,"1,651,846"
Trump Train News,https://mediabiasfactcheck.com/trump-train-news/,Questionable Sources,Mixed,United States,0
TruthOut,https://mediabiasfactcheck.com/truth-out/,Left,Mixed,United States,"2,909,288"
Truth Theory,https://mediabiasfactcheck.com/truth-theory/,Conspiracy-Pseudoscience,Mixed,United Kingdom,"92,390"
Twitchy,https://mediabiasfactcheck.com/twitchy/,Right,Mixed,United States,"1,589,588"
UAWire,https://mediabiasfactcheck.com/uawire/,Left-Center,Mixed,,"36,767"
UK Column,https://mediabiasfactcheck.com/uk-column/,Conspiracy-Pseudoscience,Mixed,United Kingdom,"104,627"
UN Watch,https://mediabiasfactcheck.com/un-watch/,Right,Mixed,,"45,449"
Unbiased America,https://mediabiasfactcheck.com/unbiased-america/,Right,Mixed,United States,211
Unity News Network,https://mediabiasfactcheck.com/unity-news-network/,Right,Mixed,United Kingdom,"7,794"
Update America,https://mediabiasfactcheck.com/update-america/,Right,Mixed,United States,"59,187"
Uproxx,https://mediabiasfactcheck.com/uproxx/,Left,Mixed,United States,"1,110,123"
US National News,https://mediabiasfactcheck.com/us-national-news/,Questionable Sources,Mixed,,"1,289"
US Political Post,https://mediabiasfactcheck.com/us-political-post/,Left,Mixed,United States,9
US Politics Info,https://mediabiasfactcheck.com/us-politics-info/,Right,Mixed,Unknown or Invalid Region,20
US Uncut,https://mediabiasfactcheck.com/us-uncut/,Left,Mixed,United States,"14,602"
USA Politics Today,https://mediabiasfactcheck.com/usa-politics-today/,Right,Mixed,,854
USSA News,https://mediabiasfactcheck.com/ussa-news/,Right,Mixed,,"138,826"
Vatican Radio,https://mediabiasfactcheck.com/vatican-radio/,Questionable Sources,Mixed,Italy,"78,650"
Verified Politics,https://mediabiasfactcheck.com/verified-politics/,Left,Mixed,United States,"25,743"
Vessel News,https://mediabiasfactcheck.com/vessel-news/,Right,Mixed,,492
Veterans Today,https://mediabiasfactcheck.com/veterans-today/,Conspiracy-Pseudoscience,Mixed,United States,"1,021,158"
Viral Title,https://mediabiasfactcheck.com/viral-title/,Left,Mixed,,41
Viva Liberty,https://mediabiasfactcheck.com/vivaliberty/,Right,Mixed,,53
Washington Examiner,https://mediabiasfactcheck.com/washington-examiner/,Right,Mixed,United States,"1,401,834"
Washington Free Beacon,https://mediabiasfactcheck.com/washington-free-beacon/,Right,Mixed,United States,"1,213,943"
The Washington Institute for Near East Policy,https://mediabiasfactcheck.com/washington-institute-for-near-east-policy/,Right-Center,Mixed,United States,"77,605"
Washington Press,https://mediabiasfactcheck.com/washington-press/,Left,Mixed,United States,"82,759"
Washington Sources,https://mediabiasfactcheck.com/washington-sources/,Left,Mixed,United States,"56,259"
Washington Times,https://mediabiasfactcheck.com/washington-times/,Right-Center,Mixed,United States,"4,111,824"
1600 Daily,https://mediabiasfactcheck.com/1600-daily/,Right,Mostly Factual,United States,"13,742,825"
Acculturated,https://mediabiasfactcheck.com/acculturated/,Right,Mostly Factual,United States,"106,165"
ACHNews,https://mediabiasfactcheck.com/achnews/,Left,Mostly Factual,United States,0
Act.TV,https://mediabiasfactcheck.com/act-tv/,Left,Mostly Factual,United States,"10,850"
Advocates for Self-Government,https://mediabiasfactcheck.com/advocates-for-self-government/,Right-Center,Mostly Factual,United States,0
American Action Forum,https://mediabiasfactcheck.com/american-action-forum/,Right-Center,Mostly Factual,United States,"42,863"
American Foreign Policy council,https://mediabiasfactcheck.com/american-foreign-policy-council/,Right,Mostly Factual,United States,"56,506"
The American Independent Institute,https://mediabiasfactcheck.com/american-independent-institute/,Left,Mostly Factual,United States,"174,095"
American Military News,https://mediabiasfactcheck.com/american-military-news/,Least Biased,Mostly Factual,United States,"67,147"
America's Voice,https://mediabiasfactcheck.com/americas-voice/,Left,Mostly Factual,United States,0
Ami Magazine,https://mediabiasfactcheck.com/ami-magazine/,Right,Mostly Factual,United States,0
Ammoland,https://mediabiasfactcheck.com/ammoland/,Right,Mostly Factual,United States,"133,651"
AmoMama,https://mediabiasfactcheck.com/amomama/,Least Biased,Mostly Factual,Cyprus,"264,748"
ArcaMax,https://mediabiasfactcheck.com/arcamax/,Right-Center,Mostly Factual,United States,0
Autism Speaks,https://mediabiasfactcheck.com/autism-speaks/,Conspiracy-Pseudoscience,Mostly Factual,United States,"2,112,955"
B.T. Denmark,https://mediabiasfactcheck.com/b-t-denmark/,Right-Center,Mostly Factual,Denmark,0
Being Liberal,https://mediabiasfactcheck.com/being-liberal/,Left,Mostly Factual,United States,0
Being Libertarian,https://mediabiasfactcheck.com/being-libertarian/,Right-Center,Mostly Factual,United States,"15,712"
Berlingske,https://mediabiasfactcheck.com/berlingske/,Right-Center,Mostly Factual,Denmark,0
Big News Network,https://mediabiasfactcheck.com/big-news-network/,Least Biased,Mostly Factual,United Arab Emirates,"4,003,381"
Birmingham Mail,https://mediabiasfactcheck.com/birmingham-mail/,Left-Center,Mostly Factual,United States,"1,234,008"
Bust Magazine,https://mediabiasfactcheck.com/bust-magazine/,Left,Mostly Factual,United States,"494,964"
Bustle Magazine,https://mediabiasfactcheck.com/bustle-magazine/,Left-Center,Mostly Factual,United States,"402,019"
Buzzsaw Politics,https://mediabiasfactcheck.com/buzzsaw-politics/,Right,Mostly Factual,United States,0
Calgary Sun,https://mediabiasfactcheck.com/calgary-sun/,Right,Mostly Factual,Canada,"606,328"
Canada Fact Check,https://mediabiasfactcheck.com/canada-fact-check/,Left,Mostly Factual,Canada,207
Canadian Dimension,https://mediabiasfactcheck.com/canadian-dimension/,Left,Mostly Factual,Canada,"57,185"
Capitalism Magazine,https://mediabiasfactcheck.com/capitalism-magazine/,Right-Center,Mostly Factual,Bahamas,"17,527"
Catch News,https://mediabiasfactcheck.com/catch-news-bias-rating/,Left-Center,Mostly Factual,India,"1,346,063"
Center for American Progress,https://mediabiasfactcheck.com/center-for-american-progress/,Left,Mostly Factual,United States,"510,427"
CNN,https://mediabiasfactcheck.com/cnn/,Left,Mostly Factual,United States,"30,024,580"
Commentary Magazine,https://mediabiasfactcheck.com/commentary-magazine/,Right,Mostly Factual,United States,"694,732"
Conservative Institute,https://mediabiasfactcheck.com/conservative-institute/,Right,Mostly Factual,United States,845
Consortium News,https://mediabiasfactcheck.com/consortium-news/,Left-Center,Mostly Factual,United States,"2,318,097"
Constitution Project,https://mediabiasfactcheck.com/constitution-project/,Left-Center,Mostly Factual,United States,"6,408"
Cosmopolitan,https://mediabiasfactcheck.com/cosmopolitan/,Left,Mostly Factual,United States,"945,281"
CounterPunch,https://mediabiasfactcheck.com/counterpunch/,Left,Mostly Factual,United States,"1,841,409"
